title,company_name,location,site,job_url,experience_range,key_skills,match_score,why_this_job_fits,missing_skills,resume_alignment_level,is_remote,work_from_home_type
Director - Information Technology,Weekday AI (YC W21),"Pune, Maharashtra, India",linkedin,https://www.linkedin.com/jobs/view/4339243972,15+ years,"log, monitor",0,"Primary skills: log, monitor; Development heavy; down-ranked; Experience: 15+ years","linux, sftp, servicenow, itil",Ignore,False,Hybrid
Application Support Engineer,NEC Software Solutions (India),"Mumbai, Maharashtra, India",linkedin,https://www.linkedin.com/jobs/view/4339383891,30+ years,"incident, linux, log, sla",63,"Primary skills: incident, linux, log, sla; On-call / shift work; ServiceNow/ITIL/incident; Experience: 30+ years","sftp, servicenow, itil",Good Match,False,
Support Engineer,Infinite Computer Solutions,"Bengaluru, Karnataka, India",linkedin,https://www.linkedin.com/jobs/view/4339233798,2-4 years,"azure, incident, itil",55,"Primary skills: azure, incident, itil; Cloud: Azure; ServiceNow/ITIL/incident; Support/production oriented; Experience: 2-4 years","linux, sftp, servicenow",Good Match,False,
IT Support Specialist,KBD Talent Forge India Pvt Ltd,"Coimbatore, Tamil Nadu, India",linkedin,https://www.linkedin.com/jobs/view/4338776447,1-3 years,"bash, python, shell",42,"Primary skills: bash, python, shell; Support/production oriented; Experience: 1-3 years","linux, sftp, servicenow, itil",Stretch Role,False,
EUC/IT-Support Engineer,apna,"Bengaluru, Karnataka, India",linkedin,https://www.linkedin.com/jobs/view/4323113027,3-4 years,"api, linux, sla",29,"Primary skills: linux, sla; Secondary skills: api; Experience: 3-4 years","sftp, servicenow, itil",Stretch Role,True,Hybrid
Product Manager - Digital Healthcare Solutions,Getinge,"Mumbai, Maharashtra, India",linkedin,https://www.linkedin.com/jobs/view/4338873209,5-7 years,"log, monitor, monitoring",36,"Primary skills: log, monitor, monitoring; Experience: 5-7 years","linux, sftp, servicenow, itil",Stretch Role,True,Remote
IT Support Engineer,Sikich India,"Hyderabad, Telangana, India",linkedin,https://www.linkedin.com/jobs/view/4347491043,1+ years,"alert, azure, incident, log, monitor, monitoring, sla",80,"Primary skills: alert, azure, incident, log, monitor, monitoring, sla; On-call / shift work; Cloud: Azure; ServiceNow/ITIL/incident; Experience: 1+ years","linux, sftp, servicenow, itil",Strong Match,True,Remote
"Manager, Technical Support",Advantmed India LLP,"Pune, Maharashtra, India",linkedin,https://www.linkedin.com/jobs/view/4338621153,15+ years,"azure, incident, itil, monitor, sla",80,"Primary skills: azure, incident, itil, monitor, sla; On-call / shift work; Cloud: Azure; ServiceNow/ITIL/incident; Experience: 15+ years","linux, sftp, servicenow",Strong Match,False,
Data Dynamics - IT Specialist - IT Operations/Support,Data Dynamics,"Pune, Maharashtra, India",linkedin,https://www.linkedin.com/jobs/view/4338430922,8+ years,"aws, azure, log, monitor",64,"Primary skills: aws, azure, log, monitor; Cloud: Azure, AWS; Support/production oriented; Experience: 8+ years","linux, sftp, servicenow, itil",Good Match,False,
Application Support Engineer,Accenture in India,worldwide,linkedin,https://www.linkedin.com/jobs/view/4337600689,3+ years,"azure, log",29,"Primary skills: azure, log; Cloud: Azure; Experience: 3+ years","linux, sftp, servicenow, itil",Stretch Role,False,
L1 Support Engineer,JUARA IT SOLUTIONS,"Chennai, Tamil Nadu, India",linkedin,https://www.linkedin.com/jobs/view/4323230652,2+ years,"incident, itil, log, sla",62,"Primary skills: incident, itil, log, sla; ServiceNow/ITIL/incident; Support/production oriented; Experience: 2+ years","linux, sftp, servicenow",Good Match,False,
"Sr. Manager, Service Desk - APAC",NETGEAR,"Chennai, Tamil Nadu, India",linkedin,https://www.linkedin.com/jobs/view/4309260118,5+ years,"alert, aws, azure, incident, log, monitor, servicenow, shell, sla",78,"Primary skills: alert, aws, azure, incident, log, monitor, servicenow, shell, sla; Cloud: Azure, AWS; ServiceNow/ITIL/incident; Experience: 5+ years","linux, sftp, itil",Strong Match,False,
Head of Technical Support,Ginesys,"Gurugram, Haryana, India",linkedin,https://www.linkedin.com/jobs/view/4336483385,12+ years,"api, devops, incident, log, servicenow, sla",66,"Primary skills: incident, log, servicenow, sla; Secondary skills: api, devops; ServiceNow/ITIL/incident; Experience: 12+ years","linux, sftp, itil",Good Match,False,
Desktop Engineer L1,"Iron Systems, Inc","Bangalore Urban, Karnataka, India",linkedin,https://www.linkedin.com/jobs/view/4336720435,,"incident, itil, monitor, servicenow",62,"Primary skills: incident, itil, monitor, servicenow; ServiceNow/ITIL/incident; Support/production oriented","linux, sftp",Good Match,True,Remote
IT Manager,Scouto AI,"Bengaluru, Karnataka, India",linkedin,https://www.linkedin.com/jobs/view/4326525830,10+ years,"aws, azure, itil, linux, log, monitor, servicenow",78,"Primary skills: aws, azure, itil, linux, log, monitor, servicenow; Cloud: Azure, AWS, GCP; ServiceNow/ITIL/incident; Experience: 10+ years",sftp,Strong Match,False,
HDFC Securities - IT Support Analyst - Trading Application,HDFC securities,worldwide,linkedin,https://www.linkedin.com/jobs/view/4335995947,8-12 years,"devops, itil, linux, monitor, monitoring",61,"Primary skills: itil, linux, monitor, monitoring; Secondary skills: devops; ServiceNow/ITIL/incident; Experience: 8-12 years","sftp, servicenow",Good Match,False,
ServiceNow - System Administration.,Proziod Analytics,"Pune, Maharashtra, India",linkedin,https://www.linkedin.com/jobs/view/4337828959,5-8 years,"incident, log, monitor, observability, servicenow",0,,,Ignore,False,
BMC Helix Support / Technical Support Analyst-Remote,Müller's Solutions,"Delhi, India, worldwide",linkedin,https://www.linkedin.com/jobs/view/4333509502,2-4 years,"devops, log",21,Primary skills: log; Secondary skills: devops; CI/CD; Experience: 2-4 years,"linux, sftp, servicenow, itil",Stretch Role,True,Remote
IT Support Engineer,SaaS Labs,"Noida, Uttar Pradesh, India",linkedin,https://www.linkedin.com/jobs/view/4333156258,,"aws, azure, bash, itil, linux, log, monitor, servicenow, shell, sla",78,"Primary skills: aws, azure, bash, itil, linux, log, monitor, servicenow, shell, sla; Cloud: Azure, AWS, GCP; ServiceNow/ITIL/incident",sftp,Strong Match,False,
System Administrator - IT Support,Blue Matter,worldwide,linkedin,https://www.linkedin.com/jobs/view/4332831528,3-6 years,"alert, azure, bash, incident, itil, log, shell",79,"Primary skills: alert, azure, bash, incident, itil, log, shell; Cloud: Azure; ServiceNow/ITIL/incident; Support/production oriented; Experience: 3-6 years","linux, sftp, servicenow",Strong Match,False,
Prozessmanager (m/w/d) Konfigurationsmanagement,Deutsche Telekom,"Pune, Maharashtra, India",linkedin,https://www.linkedin.com/jobs/view/4332463167,,"itil, log, rest, servicenow",49,"Primary skills: itil, log, servicenow; Secondary skills: rest; ServiceNow/ITIL/incident","linux, sftp",Good Match,False,
Systems Administrator,Telestream,"Bengaluru, Karnataka, India",linkedin,https://www.linkedin.com/jobs/view/4331180707,,"aws, itil, log, monitor, python, shell, sla",73,"Primary skills: aws, itil, log, monitor, python, shell, sla; Cloud: AWS; ServiceNow/ITIL/incident","linux, sftp, servicenow",Strong Match,False,Hybrid
Assistant Vice President - Application,HDB Financial Services Ltd.,"Mumbai, Maharashtra, India",linkedin,https://www.linkedin.com/jobs/view/4316823262,,"incident, log",32,"Primary skills: incident, log; ServiceNow/ITIL/incident","linux, sftp, servicenow, itil",Stretch Role,False,
Application Support Engineer,Sampoorna Consultants,"Pune, Maharashtra, India",linkedin,https://www.linkedin.com/jobs/view/4314869661,,sla,18,Primary skills: sla; Support/production oriented,"linux, sftp, servicenow, itil",Ignore,True,Remote
Senior System Engineer - Administration &amp; Maintenance,Vrinsoft Technology Pvt. Ltd.,"Ahmedabad, Gujarat, India",linkedin,https://www.linkedin.com/jobs/view/4310635135,,"linux, monitor, monitoring",42,"Primary skills: linux, monitor, monitoring; Support/production oriented","sftp, servicenow, itil",Stretch Role,False,
Infrastructure Management / Capacity Management/ Disaster Recovery,NuStar Technologies,"Bengaluru, Karnataka, India",linkedin,https://www.linkedin.com/jobs/view/4310105843,,"incident, itil, monitor, monitoring, python",75,"Primary skills: incident, itil, monitor, monitoring, python; On-call / shift work; ServiceNow/ITIL/incident","linux, sftp, servicenow",Strong Match,False,
ServiceNow Developers,ALIQAN Technologies,"Bengaluru, Karnataka, India",linkedin,https://www.linkedin.com/jobs/view/4307645247,5-8 years,"api, java, linux, log, rest, servicenow",59,"Primary skills: linux, log, servicenow; Secondary skills: api, java, rest; ServiceNow/ITIL/incident; Experience: 5-8 years","sftp, itil",Good Match,False,Hybrid
Application Support Engineer,SemperFI Solutions,"Bengaluru, Karnataka, India",linkedin,https://www.linkedin.com/jobs/view/4306112549,,"alert, aws, azure, java, linux, python, rest, shell",93,"Primary skills: alert, aws, azure, linux, python, shell; Secondary skills: java, rest; On-call / shift work; Cloud: Azure, AWS, GCP; Support/production oriented","sftp, servicenow, itil",Strong Match,False,
IT Support,Project Eagle,"Jaipur, Rajasthan, India",linkedin,https://www.linkedin.com/jobs/view/4306120386,2+ years,"log, rest",17,Primary skills: log; Secondary skills: rest; Experience: 2+ years,"linux, sftp, servicenow, itil",Ignore,False,
Applications Support Engineer - Trading/Fintech Domain,Tradelab Technologies,"Bengaluru, Karnataka, India",linkedin,https://www.linkedin.com/jobs/view/4306850010,2+ years,"api, aws, azure, incident, linux, log, log analysis, monitor, monitoring, python, rest, shell",88,"Primary skills: aws, azure, incident, linux, log, log analysis, monitor, monitoring, python, shell; Secondary skills: api, rest; Cloud: Azure, AWS; ServiceNow/ITIL/incident; Experience: 2+ years","sftp, servicenow, itil",Strong Match,False,
Desktop Support Engineer - IT Support Engineers,INSTRUMENTATION AND CONTROL SOLUTIONS,"Bangalore Rural, Karnataka, India",linkedin,https://www.linkedin.com/jobs/view/4305222133,2-8 years,rest,11,Secondary skills: rest; Support/production oriented; Experience: 2-8 years,"linux, sftp, servicenow, itil",Ignore,False,
IT Support (L2),SFJ Business Solutions Pvt. Ltd.,"Bengaluru, Karnataka, India",linkedin,https://www.linkedin.com/jobs/view/4293608463,,log,18,Primary skills: log; Support/production oriented,"linux, sftp, servicenow, itil",Ignore,True,Remote
Desktop Engineer,e-Stone Information Technology Private Limited,"Mumbai, Maharashtra, India",linkedin,https://www.linkedin.com/jobs/view/4291650086,2+ years,"alert, incident",38,"Primary skills: alert, incident; ServiceNow/ITIL/incident; Support/production oriented; Experience: 2+ years","linux, sftp, servicenow, itil",Stretch Role,False,
Application Support Specialist,Talent Worx,"Bengaluru, Karnataka, India",linkedin,https://www.linkedin.com/jobs/view/4283461573,3+ years,"itil, log",32,"Primary skills: itil, log; ServiceNow/ITIL/incident; Experience: 3+ years","linux, sftp, servicenow",Stretch Role,False,
Frontend Developer,Kognito Kube Private Limited,"Kondapur, Telangana, India",linkedin,https://www.linkedin.com/jobs/view/4265682378,,log,0,,,Ignore,True,Hybrid
Application Support Engineer I,Outseer,"Bengaluru, Karnataka, India",linkedin,https://www.linkedin.com/jobs/view/4228818282,4+ years,"api, aws, log, monitor, rest",58,"Primary skills: aws, log, monitor; Secondary skills: api, rest; On-call / shift work; Cloud: AWS; Experience: 4+ years","linux, sftp, servicenow, itil",Good Match,True,Remote
IT Developer (ServiceNow),Panasonic Avionics Corporation,"Pune, Maharashtra, India",linkedin,https://www.linkedin.com/jobs/view/4180628315,40+ years,"api, devops, itil, java, log, monitor, monitoring, rest, servicenow",0,,,Ignore,False,
IT EXECUTIVE,Yash Group of Industries,"Wai, Maharashtra, India",linkedin,https://www.linkedin.com/jobs/view/4200653018,0-3 years,"linux, log, monitor, rest",47,"Primary skills: linux, log, monitor; Secondary skills: rest; Support/production oriented; Experience: 0-3 years","sftp, servicenow, itil",Good Match,True,Remote
IT Support,InOpTra Digital,"Bengaluru, Karnataka, India",linkedin,https://www.linkedin.com/jobs/view/4200320179,3-6 years,"linux, monitor, sla",36,"Primary skills: linux, monitor, sla; Experience: 3-6 years","sftp, servicenow, itil",Stretch Role,True,Remote
IT – Support Engineer,Consolidated,"Karnataka, India, worldwide",linkedin,https://www.linkedin.com/jobs/view/4201043477,3-4 years,"aws, linux, servicenow",41,"Primary skills: aws, linux, servicenow; Cloud: AWS; Experience: 3-4 years","sftp, itil",Stretch Role,True,Remote
IT Support Executive,Identixweb Limited,"Surat, Gujarat, India",linkedin,https://www.linkedin.com/jobs/view/4198783258,,"java, monitor, monitoring",36,"Primary skills: monitor, monitoring; Secondary skills: java; On-call / shift work","linux, sftp, servicenow, itil",Stretch Role,True,Remote
ServiceNow Developer,Nihilent,"Madhavaram, Tamil Nadu, India",linkedin,https://www.linkedin.com/jobs/view/4189808602,3-6 years,"java, log, servicenow",37,"Primary skills: log, servicenow; Secondary skills: java; ServiceNow/ITIL/incident; Experience: 3-6 years","linux, sftp, itil",Stretch Role,False,
Application Support Engineer,Yappes,"Bengaluru, Karnataka, India",linkedin,https://www.linkedin.com/jobs/view/4161611228,3+ years,"api, aws, azure, bash, devops, grafana, incident, itil, jenkins, linux, log, log analysis, monitor, monitoring, observability, prometheus, python, rest, sla",100,"Primary skills: aws, azure, bash, incident, itil, jenkins, linux, log, log analysis, monitor, monitoring, python, sla; Secondary skills: api, devops, grafana, observability, prometheus, rest; On-call / shift work; Cloud: Azure, AWS, GCP; ServiceNow/ITIL/incident; CI/CD; Experience: 3+ years","sftp, servicenow",Strong Match,False,
Service desk - Support Engineer,Prismforce,"Bengaluru, Karnataka, India",linkedin,https://www.linkedin.com/jobs/view/4133502684,3-4 years,"api, grafana, log, monitor, monitoring, servicenow, sla",85,"Primary skills: log, monitor, monitoring, servicenow, sla; Secondary skills: api, grafana; On-call / shift work; ServiceNow/ITIL/incident; Experience: 3-4 years","linux, sftp, itil",Strong Match,False,
Application Support,ZakApps,"Chennai, Tamil Nadu, India",linkedin,https://www.linkedin.com/jobs/view/4074127362,,incident,33,Primary skills: incident; On-call / shift work; ServiceNow/ITIL/incident; Support/production oriented,"linux, sftp, servicenow, itil",Stretch Role,False,
Software Support Engineer,TBI Technologies,"Bhopal, Madhya Pradesh, India",linkedin,https://www.linkedin.com/jobs/view/4074131029,,,6,Support/production oriented,"linux, sftp, servicenow, itil",Ignore,False,
Sr. Application Support Engineer (Teamcenter),Yamaha Motor Solutions India,"Faridabad, Haryana, India",linkedin,https://www.linkedin.com/jobs/view/4345567046,,,0,,"linux, sftp, servicenow, itil",Ignore,False,
Assistant Manager - ITSM Data & Support Analyst,Deloitte,"Hyderabad, Telangana, India",linkedin,https://www.linkedin.com/jobs/view/4315726170,6+ years,"aws, azure, itil, log, monitor, monitoring, rest, servicenow",90,"Primary skills: aws, azure, itil, log, monitor, monitoring, servicenow; Secondary skills: rest; On-call / shift work; Cloud: Azure, AWS; ServiceNow/ITIL/incident; Experience: 6+ years","linux, sftp",Strong Match,False,
Global IT Service Desk Analyst,Lucy Group Ltd,"Vadodara, Gujarat, India",linkedin,https://www.linkedin.com/jobs/view/4347558883,3+ years,"alert, azure, incident, itil, log, monitor, servicenow",80,"Primary skills: alert, azure, incident, itil, log, monitor, servicenow; On-call / shift work; Cloud: Azure; ServiceNow/ITIL/incident; Experience: 3+ years","linux, sftp",Strong Match,False,
Application Support Engineer,Accenture services Pvt Ltd,"Bengaluru, Karnataka, India",linkedin,https://www.linkedin.com/jobs/view/4328443850,2+ years,"log, monitor, monitoring, python",48,"Primary skills: log, monitor, monitoring, python; Experience: 2+ years","linux, sftp, servicenow, itil",Good Match,False,
IT Lead - Application Support (ZOHO Suite),Kaplan Middle East & North Africa,worldwide,linkedin,https://www.linkedin.com/jobs/view/4345682274,4+ years,"api, log, rest",22,"Primary skills: log; Secondary skills: api, rest; Experience: 4+ years","linux, sftp, servicenow, itil",Stretch Role,True,Remote
Application Support For PWISE - Associate,BNP Paribas,"Mumbai, India",naukri,https://www.naukri.com/job-listings-application-support-for-pwise-associate-bnp-paribas-india-solutions-pvt-ltd-mumbai-6-to-11-years-221225907084,36+ years,,6,Support/production oriented; Experience: 36+ years,"linux, sftp, servicenow, itil",Ignore,False,Work from office
Senior Technical Specialist / User Support L3,Navsan,"Remote, India",naukri,https://www.naukri.com/job-listings-senior-technical-specialist-user-support-l3-navsan-hyderabad-8-to-13-years-221225004355,,alert,25,Primary skills: alert; On-call / shift work; Support/production oriented,"linux, sftp, servicenow, itil",Stretch Role,True,Remote
Servicenow Architect,Calsoft,"Hybrid - Pune, Bengaluru, India",naukri,https://www.naukri.com/job-listings-servicenow-architect-calsoft-pune-bengaluru-10-to-20-years-211125009163,,servicenow,20,Primary skills: servicenow; ServiceNow/ITIL/incident,"linux, sftp, itil",Stretch Role,False,Hybrid
ServiceNow Integration Lead,Calsoft,"Pune, Bengaluru, India",naukri,https://www.naukri.com/job-listings-servicenow-integration-lead-calsoft-pune-bengaluru-10-to-18-years-181225019778,810+ years,"api, java, log, rest, servicenow, sla",63,"Primary skills: log, servicenow, sla; Secondary skills: api, java, rest; ServiceNow/ITIL/incident; CI/CD; Experience: 810+ years","linux, sftp, itil",Good Match,False,Work from office
Senior Associate / Assistant Manager - Application Support - RISK IT,BNP Paribas,"Mumbai, India",naukri,https://www.naukri.com/job-listings-senior-associate-assistant-manager-application-support-risk-it-bnp-paribas-india-solutions-pvt-ltd-mumbai-7-to-12-years-221225907046,7+ years,"api, itil, java, linux, log, python, shell",78,"Primary skills: itil, linux, log, python, shell; Secondary skills: api, java; ServiceNow/ITIL/incident; Experience: 7+ years","sftp, servicenow",Strong Match,False,Work from office
Application Support Engineer,Seclore,"Mumbai, India",naukri,https://www.naukri.com/job-listings-application-support-engineer-seclore-mumbai-3-to-6-years-221225001840,2-5 years,,13,On-call / shift work; Support/production oriented; Experience: 2-5 years,"linux, sftp, servicenow, itil",Ignore,False,Work from office
Application Production Support - Cloud & AI Platform Expert,BNP Paribas,"Chennai, India",naukri,https://www.naukri.com/job-listings-application-production-support-cloud-ai-platform-expert-bnp-paribas-india-solutions-pvt-ltd-chennai-5-to-10-years-221225907088,,"python, shell",24,"Primary skills: python, shell","linux, sftp, servicenow, itil",Stretch Role,False,Work from office
Manager - Axway  CFT L3 support SME,BNP Paribas,"Mumbai, India",naukri,https://www.naukri.com/job-listings-manager-axway-cft-l3-support-sme-bnp-paribas-india-solutions-pvt-ltd-mumbai-10-to-15-years-221225907052,,,6,Support/production oriented,"linux, sftp, servicenow, itil",Ignore,False,Work from office
Support  Analyst - Associate,BNP Paribas,"Chennai, India",naukri,https://www.naukri.com/job-listings-support-analyst-associate-bnp-paribas-india-solutions-pvt-ltd-chennai-5-to-10-years-221225907050,,"monitor, monitoring, sla",42,"Primary skills: monitor, monitoring, sla; Support/production oriented","linux, sftp, servicenow, itil",Stretch Role,False,Work from office
Genpact Hiring For Chat Support Role|| Gurgaon,Genpact,"Gurgaon, India",naukri,https://www.naukri.com/job-listings-genpact-hiring-for-chat-support-role-gurgaon-genpact-gurugram-2-to-5-years-221225007317,1-5 years,"api, aws, log",47,"Primary skills: aws, log; Secondary skills: api; On-call / shift work; Cloud: AWS; Support/production oriented; Experience: 1-5 years","linux, sftp, servicenow, itil",Good Match,False,Work from office
Inviting Applications For Fund Accounting Roles|| Pune & Bangalore,Genpact,"Pune, Bengaluru, India",naukri,https://www.naukri.com/job-listings-inviting-applications-for-fund-accounting-roles-pune-bangalore-genpact-pune-bengaluru-3-to-7-years-221225006796,,,0,,"linux, sftp, servicenow, itil",Ignore,False,Work from office
Customer Support Specialist (Voice Process),Simply Vyapar Apps,"Bengaluru(Bellandur), India",naukri,https://www.naukri.com/job-listings-customer-support-specialist-voice-process-simply-vyapar-apps-bengaluru-0-to-3-years-221225006740,1-4 years,,6,Support/production oriented; Experience: 1-4 years,"linux, sftp, servicenow, itil",Ignore,False,Work from office
Customer Support Executive,Pocket Fm,"Bengaluru(Koramangala), India",naukri,https://www.naukri.com/job-listings-customer-support-executive-pocket-fm-bengaluru-1-to-2-years-221225005511,1-2 years,,0,Experience: 1-2 years,"linux, sftp, servicenow, itil",Ignore,False,Work from office
IBM BPM Production Support Specialist,CGI,"Hybrid - Hyderabad, India",naukri,https://www.naukri.com/job-listings-ibm-bpm-production-support-specialist-cgi-hyderabad-3-to-6-years-221225003902,3+ years,incident,27,Primary skills: incident; On-call / shift work; ServiceNow/ITIL/incident; Experience: 3+ years,"linux, sftp, servicenow, itil",Stretch Role,False,Hybrid
Inviting Applications For Fund Accounting Roles|| Pune & Bangalore,Genpact,"Pune, Bengaluru, India",naukri,https://www.naukri.com/job-listings-inviting-applications-for-fund-accounting-roles-pune-bangalore-genpact-pune-bengaluru-3-to-7-years-221225003138,,,0,,"linux, sftp, servicenow, itil",Ignore,False,Work from office
Servicenow Developer,Calsoft,"Pune, Bengaluru, India",naukri,https://www.naukri.com/job-listings-servicenow-developer-calsoft-pune-bengaluru-5-to-9-years-161025015235,5-8 years,"monitor, monitoring, servicenow",44,"Primary skills: monitor, monitoring, servicenow; ServiceNow/ITIL/incident; Experience: 5-8 years","linux, sftp, itil",Stretch Role,False,Work from office
SAP BTP Application Developer,Panasonic Life Solutions,"Hybrid - Gurgaon, India",naukri,https://www.naukri.com/job-listings-sap-btp-application-developer-panasonic-life-solutions-gurugram-7-to-12-years-250925007902,3+ years,java,5,Secondary skills: java; Experience: 3+ years,"linux, sftp, servicenow, itil",Ignore,False,Hybrid
Sr. Network Security L2 Role For Banking IT Company - Navi Mumbai,Uni-eservices & Hr Solutions,"Navi Mumbai, India",naukri,https://www.naukri.com/job-listings-sr-network-security-l2-role-for-banking-it-company-navi-mumbai-uni-eservices-hr-solutions-navi-mumbai-4-to-6-years-241125024424,,,6,Support/production oriented,"linux, sftp, servicenow, itil",Ignore,False,Work from office
IT Engineer - Oracle DBA,BNP Paribas,"Chennai, India",naukri,https://www.naukri.com/job-listings-it-engineer-oracle-dba-bnp-paribas-india-solutions-pvt-ltd-chennai-5-to-10-years-221225907096,,alert,12,Primary skills: alert,"linux, sftp, servicenow, itil",Ignore,False,Work from office
Senior Support  Analyst,BNP Paribas,"Chennai, India",naukri,https://www.naukri.com/job-listings-senior-support-analyst-bnp-paribas-india-solutions-pvt-ltd-chennai-7-to-12-years-221225907081,,"bitbucket, devops, grafana, incident, itil, jenkins, linux, log, monitor, monitoring, prometheus, python, shell, sla",87,"Primary skills: bitbucket, incident, itil, jenkins, linux, log, monitor, monitoring, python, shell, sla; Secondary skills: devops, grafana, prometheus; ServiceNow/ITIL/incident; CI/CD","sftp, servicenow",Strong Match,False,Work from office
"Engineering Manager, Application Modernization Platform",Mongodb,"Gurgaon, India",naukri,https://www.naukri.com/job-listings-engineering-manager-application-modernization-platform-mongodb-software-india-private-limited-gurugram-8-to-13-years-221225903588,2+ years,,0,Experience: 2+ years,"linux, sftp, servicenow, itil",Ignore,False,Work from office
IT Integrator,G4S,"Gurgaon, India",naukri,https://www.naukri.com/job-listings-it-integrator-g4s-gurugram-5-to-10-years-221225007896,5+ years,,6,Support/production oriented; Experience: 5+ years,"linux, sftp, servicenow, itil",Ignore,False,Work from office
Assistant Manager - IT Asset Management,DTDC Express,"Bengaluru(Koramangala), India",naukri,https://www.naukri.com/job-listings-assistant-manager-it-asset-management-dtdc-express-bengaluru-5-to-9-years-221225006437,,"itil, log",32,"Primary skills: itil, log; ServiceNow/ITIL/incident","linux, sftp, servicenow",Stretch Role,False,Work from office
Technical Support Lead,Lotusflare Technologies,"Pune, India",naukri,https://www.naukri.com/job-listings-technical-support-lead-lotusflare-technologies-pune-7-to-12-years-221225005775,,"api, log, monitor, monitoring",47,"Primary skills: log, monitor, monitoring; Secondary skills: api; Support/production oriented","linux, sftp, servicenow, itil",Good Match,False,Work from office
Genpact Inviting Applications For Accounts Payable _Hyderabad,Genpact,"Hyderabad, India",naukri,https://www.naukri.com/job-listings-genpact-inviting-applications-for-accounts-payable-hyderabad-genpact-hyderabad-2-to-6-years-221225004882,2-5 years,,7,On-call / shift work; Experience: 2-5 years,"linux, sftp, servicenow, itil",Ignore,False,Work from office
Application Specialist (Ophthalmology),Aurolab,"Bengaluru, India",naukri,https://www.naukri.com/job-listings-application-specialist-ophthalmology-aurolab-bengaluru-1-to-6-years-221225004800,,log,12,Primary skills: log,"linux, sftp, servicenow, itil",Ignore,False,Work from office
Inviting applications For Assistant Manager_Credit Management_Kolkata,Genpact,"Kolkata, India",naukri,https://www.naukri.com/job-listings-inviting-applications-for-assistant-manager-credit-management-kolkata-genpact-kolkata-5-to-10-years-221225004794,,"api, aws, log, monitor, sla",65,"Primary skills: aws, log, monitor, sla; Secondary skills: api; On-call / shift work; Cloud: AWS","linux, sftp, servicenow, itil",Good Match,False,Work from office
Regional - IT Manager,Fedbank Financial Services,"Kolkata, India",naukri,https://www.naukri.com/job-listings-regional-it-manager-fedbank-financial-services-kolkata-7-to-10-years-221225003278,7+ years,log,12,Primary skills: log; Experience: 7+ years,"linux, sftp, servicenow, itil",Ignore,False,Work from office
Mobile Device Management (SOTI) Support - Intune,Cerebra,"Chennai, Coimbatore, India",naukri,https://www.naukri.com/job-listings-mobile-device-management-soti-support-intune-cerebra-chennai-coimbatore-5-to-8-years-221225003131,,"azure, shell",29,"Primary skills: azure, shell; Cloud: Azure","linux, sftp, servicenow, itil",Stretch Role,True,Remote
Engineer Data Applications (UI Development),Manpowergroup Services India,"Chennai, India",naukri,https://www.naukri.com/job-listings-engineer-data-applications-ui-development-manpowergroup-services-india-chennai-3-to-6-years-221225001578,4+ years,"api, azure, devops, java, log, monitor, monitoring, rest",0,,,Ignore,False,Work from office
Sr. QA-  Commercial Lending/US Mortgage ( Non IT ),Coforge,"Pune, India",naukri,https://www.naukri.com/job-listings-sr-qa-commercial-lending-us-mortgage-non-it-coforge-pune-2-to-7-years-221225001262,2+ years,,7,On-call / shift work; Experience: 2+ years,"linux, sftp, servicenow, itil",Ignore,False,Work from office
"Service Desk Management, Service Desk Voice Support",Advent Global Solutions,"Hybrid - Bengaluru, India",naukri,https://www.naukri.com/job-listings-service-desk-management-service-desk-voice-support-advent-global-solutions-bengaluru-3-to-8-years-101225025236,15+ years,,6,Support/production oriented; Experience: 15+ years,"linux, sftp, servicenow, itil",Ignore,False,Hybrid
IT Strategy Professional,Sampoorna Consultants,"Bengaluru, India",naukri,https://www.naukri.com/job-listings-it-strategy-professional-sampoorna-consultants-bengaluru-4-to-9-years-081025917122,4+ years,itil,20,Primary skills: itil; ServiceNow/ITIL/incident; Experience: 4+ years,"linux, sftp, servicenow",Stretch Role,False,Work from office
Inviting Applications For Content moderation-Hindi+English,Genpact,"Hyderabad, India",naukri,https://www.naukri.com/job-listings-inviting-applications-for-content-moderation-hindi-english-genpact-hyderabad-0-to-1-years-070725005243,,,7,On-call / shift work,"linux, sftp, servicenow, itil",Ignore,False,Work from office
Java Developer - ILMS - ALMT IT,BNP Paribas,"Mumbai, India",naukri,https://www.naukri.com/job-listings-java-developer-ilms-almt-it-bnp-paribas-india-solutions-pvt-ltd-mumbai-5-to-10-years-221225907086,,"devops, jenkins, log",0,,,Ignore,False,Work from office
Software Engineer (AI Applications),Niit Learning Systems,"Delhi, Gurgaon, India",naukri,https://www.naukri.com/job-listings-software-engineer-ai-applications-niit-learning-systems-new-delhi-gurugram-3-to-5-years-151225000143,35+ years,,0,Experience: 35+ years,"linux, sftp, servicenow, itil",Ignore,False,Work from office
Customer Support Representative,HCLTech,"Chennai, India",naukri,https://www.naukri.com/job-listings-customer-support-representative-hcltech-chennai-0-to-1-years-121225039536,,,7,On-call / shift work,"linux, sftp, servicenow, itil",Ignore,False,Work from office
Hiring For International Customer Support - VOICE,Foundever,"Chennai, India",naukri,https://www.naukri.com/job-listings-hiring-for-international-customer-support-voice-foundever-chennai-0-to-4-years-121225037097,,,7,On-call / shift work,"linux, sftp, servicenow, itil",Ignore,False,Work from office
